Store,Address,City,State,Zip,Type,Total Sales,%Sales Dry Grocery,%Sales FrozenFood,%Sales Dairy,%Sales Meat,%Sales Produce,%Sales Floral,%Sales Deli,%Sales Bakery,%Sales General_Merchandise
S0070,4550 Atlantic Ave,Long Beach,CA,90807,Existing,35369811.65,0.43968527776992,7.68669281279591e-002,9.75284082407602e-002,0.100741507906786,0.113486223215441,7.8252076301345e-003,3.77874661371005e-002,2.33282497561731e-002,0.102750731215726
S0071,1270 E Main St,Barstow,CA,92311,Existing,30947739.96,0.444423860927388,6.8709828011622e-002,9.81919766654263e-002,0.134438802167058,0.101314143910107,5.95327187827386e-003,4.29820265298623e-002,2.15006482172858e-002,8.24854416929773e-002
S0072,729 N H St,Lompoc,CA,93436,Existing,38059818.31,0.439709568860525,6.33734289100971e-002,9.27884815748612e-002,0.125563804878815,0.108969886987356,7.55870134893453e-003,4.40562042714596e-002,1.82013627694588e-002,9.97785603984929e-002
S0073,175 N Fairview Ave,Goleta,CA,93117,Existing,35879715.24,0.436022961312666,7.78570546425552e-002,9.77763877593137e-002,0.105422731331577,0.124461102885832,8.66901556825176e-003,4.25052509418968e-002,3.60454137205131e-002,7.12400818373942e-002
S0074,777 S Glendora Ave,West Covina,CA,91790,Existing,20508215.14,0.456377655788528,7.89670987428505e-002,0.103003619065798,0.131932610006743,9.30637404070065e-002,5.08630464854778e-003,3.73692744477421e-002,3.31577007242182e-002,6.10419961685657e-002
S0075,870 3rd Ave,Chula Vista,CA,91911,Existing,31159295.68,0.431126854341016,7.55026928131131e-002,9.77621125099834e-002,0.159218335066038,0.114499910929951,4.55906293450597e-003,5.15678347322644e-002,1.60311829615784e-002,0.04973201371155
S0076,7311 N Figueroa St,Los Angeles,CA,90041,Existing,22609121.51,0.438723426543255,8.19458615046383e-002,9.90931721521806e-002,0.109776268348252,0.115232744839187,1.17011432701173e-002,4.16554017626667e-002,2.61070970731406e-002,7.5764884506563e-002
S0077,163 S Turnpike Rd,Goleta,CA,93111,Existing,26951114.68,0.438946113749385,8.18253710907366e-002,0.103039925916712,0.106184467098264,0.11793568346762,1.08497211886006e-002,3.80894412787234e-002,3.92440250638272e-002,6.38852511461318e-002
S0078,3855 State St,Santa Barabra,CA,93105,Existing,18405544.69,0.431481549378694,8.80517592549444e-002,0.119660556484189,0.111857096036857,0.127328693579674,7.19256518781134e-003,3.62736263036397e-002,2.52094044384405e-002,5.29447493357503e-002
S0079,3027 Rancho Vista Blvd,Palmdale,CA,93551,Existing,23735310.88,0.464064228848221,7.68603811099524e-002,9.60020027342486e-002,0.120888534155151,9.89700308488228e-002,7.747706399538e-003,4.03967011364462e-002,2.27431817821634e-002,7.23272329854565e-002
S0080,29530 Rancho California Rd,Temecula,CA,92591,Existing,12618744.15,0.476708115204951,8.22147471783078e-002,0.106207764740202,0.101294569792827,8.26164971416748e-002,7.71247192613855e-003,3.62586898158166e-002,2.42448429386691e-002,8.27423012614135e-002
S0081,24325 Crenshaw Blvd,Torrance,CA,90503,Existing,14701931.83,0.423279909875626,8.65922135077673e-002,0.102088636197955,0.123492606345461,0.11666552938982,8.47526987887006e-003,3.8955945832324e-002,4.2944369304697e-002,5.7505519667479e-002
S0082,42170 Big Bear Blvd,Big Bear Lake,CA,92315,Existing,34926733.05,0.460994979317139,7.52898799963772e-002,0.100759556439534,0.113609981337777,0.101490017257712,5.26935083612121e-003,4.82667424859537e-002,3.5212386404402e-002,5.91071059249843e-002
S0083,130 W Foothill Blvd,Monrovia,CA,91016,Existing,19002814.15,0.447872591018315,8.37932433286467e-002,0.108864515732792,0.109468899899755,0.117443241426428,7.09702410050671e-003,3.18846316770403e-002,2.52062797761983e-002,6.83695730403174e-002
S0084,5500 Woodruff Ave,Lakewood,CA,90713,Existing,21553681.04,0.460305966372415,9.44084407774089e-002,0.106343455475019,0.105935861988612,0.100824239069282,6.37733154466315e-003,4.01495442191066e-002,2.21186028092025e-002,6.35365577442916e-002
S0085,561 N Glendale Ave,Glendale,CA,91206,Existing,21552703.64,0.42423991684414,7.52570098439862e-002,0.112563242668891,0.115231696286619,0.125251024423217,1.06353000453543e-002,3.12997910270528e-002,3.69522085629161e-002,6.8569810297823e-002
